;Model;Strategy;Sampling Strategy;Vectorizer;N-Gram;Feature Size;Accuracy;Macro-F1;Vec_N-Gram
187;FFNN (Updated);prep_masked;SMOTETomek (Combined);TF-IDF;(1, 4);100842;0.7489583333333333;0.6917250643532581;"TF-IDF
(1, 4)"
188;Naive Bayes;prep_masked;Tomek (Undersampling);BoW;(1, 4);100842;0.7333333333333333;0.6444623054247424;"BoW
(1, 4)"
189;Naive Bayes;prep_masked;Tomek (Undersampling);TF-IDF;(1, 4);100842;0.6895833333333333;0.48715118959814824;"TF-IDF
(1, 4)"
190;FFNN (Updated);prep_masked;Tomek (Undersampling);BoW;(1, 4);100842;0.75625;0.6896219635730385;"BoW
(1, 4)"
191;FFNN (Updated);prep_masked;Tomek (Undersampling);TF-IDF;(1, 4);100842;0.7635416666666667;0.7041806787516119;"TF-IDF
(1, 4)"
192;Naive Bayes;prep_standard_numbers;None (Imbalanced);BoW;(1, 1);7526;0.7125;0.6392481590501392;"BoW
(1, 1)"
193;Naive Bayes;prep_standard_numbers;None (Imbalanced);TF-IDF;(1, 1);7526;0.6947916666666667;0.48380833794502864;"TF-IDF
(1, 1)"
194;FFNN (Updated);prep_standard_numbers;None (Imbalanced);BoW;(1, 1);7526;0.7333333333333333;0.6779002187137565;"BoW
(1, 1)"
195;FFNN (Updated);prep_standard_numbers;None (Imbalanced);TF-IDF;(1, 1);7526;0.7635416666666667;0.7040059971146562;"TF-IDF
(1, 1)"
196;Naive Bayes;prep_standard_numbers;SMOTE (Oversampling);BoW;(1, 1);7526;0.6604166666666667;0.5761626875820823;"BoW
(1, 1)"
197;Naive Bayes;prep_standard_numbers;SMOTE (Oversampling);TF-IDF;(1, 1);7526;0.6395833333333333;0.5809808118761711;"TF-IDF
(1, 1)"
198;FFNN (Updated);prep_standard_numbers;SMOTE (Oversampling);BoW;(1, 1);7526;0.6895833333333333;0.637277279682343;"BoW
(1, 1)"
199;FFNN (Updated);prep_standard_numbers;SMOTE (Oversampling);TF-IDF;(1, 1);7526;0.7354166666666667;0.6961934314418262;"TF-IDF
(1, 1)"
200;Naive Bayes;prep_standard_numbers;SMOTETomek (Combined);BoW;(1, 1);7526;0.6625;0.5782431668912335;"BoW
(1, 1)"
201;Naive Bayes;prep_standard_numbers;SMOTETomek (Combined);TF-IDF;(1, 1);7526;0.6385416666666667;0.580123806256076;"TF-IDF
(1, 1)"
202;FFNN (Updated);prep_standard_numbers;SMOTETomek (Combined);BoW;(1, 1);7526;0.6979166666666666;0.6413583530730734;"BoW
(1, 1)"
203;FFNN (Updated);prep_standard_numbers;SMOTETomek (Combined);TF-IDF;(1, 1);7526;0.7229166666666667;0.6769844945659353;"TF-IDF
(1, 1)"
204;Naive Bayes;prep_standard_numbers;Tomek (Undersampling);BoW;(1, 1);7526;0.7083333333333334;0.637431640427457;"BoW
(1, 1)"
205;Naive Bayes;prep_standard_numbers;Tomek (Undersampling);TF-IDF;(1, 1);7526;0.6927083333333334;0.4841027984627653;"TF-IDF
(1, 1)"
206;FFNN (Updated);prep_standard_numbers;Tomek (Undersampling);BoW;(1, 1);7526;0.74375;0.6917116740387002;"BoW
(1, 1)"
207;FFNN (Updated);prep_standard_numbers;Tomek (Undersampling);TF-IDF;(1, 1);7526;0.753125;0.7028035862415388;"TF-IDF
(1, 1)"
208;Naive Bayes;prep_standard_numbers;None (Imbalanced);BoW;(1, 2);41304;0.7260416666666667;0.631629506821764;"BoW
(1, 2)"
209;Naive Bayes;prep_standard_numbers;None (Imbalanced);TF-IDF;(1, 2);41304;0.6833333333333333;0.46110903420931565;"TF-IDF
(1, 2)"
210;FFNN (Updated);prep_standard_numbers;None (Imbalanced);BoW;(1, 2);41304;0.7416666666666667;0.6880243152186125;"BoW
(1, 2)"
211;FFNN (Updated);prep_standard_numbers;None (Imbalanced);TF-IDF;(1, 2);41304;0.74375;0.6945476838595948;"TF-IDF
(1, 2)"
212;Naive Bayes;prep_standard_numbers;SMOTE (Oversampling);BoW;(1, 2);41304;0.69375;0.6050085432801068;"BoW
(1, 2)"
213;Naive Bayes;prep_standard_numbers;SMOTE (Oversampling);TF-IDF;(1, 2);41304;0.659375;0.6086874437929387;"TF-IDF
(1, 2)"
214;FFNN (Updated);prep_standard_numbers;SMOTE (Oversampling);BoW;(1, 2);41304;0.6770833333333334;0.622005721878348;"BoW
(1, 2)"
215;FFNN (Updated);prep_standard_numbers;SMOTE (Oversampling);TF-IDF;(1, 2);41304;0.71875;0.6582923933933592;"TF-IDF
(1, 2)"
216;Naive Bayes;prep_standard_numbers;SMOTETomek (Combined);BoW;(1, 2);41304;0.6958333333333333;0.6062789086256029;"BoW
(1, 2)"
217;Naive Bayes;prep_standard_numbers;SMOTETomek (Combined);TF-IDF;(1, 2);41304;0.6604166666666667;0.6101366454752002;"TF-IDF
(1, 2)"
218;FFNN (Updated);prep_standard_numbers;SMOTETomek (Combined);BoW;(1, 2);41304;0.7072916666666667;0.6466521079007337;"BoW
(1, 2)"
219;FFNN (Updated);prep_standard_numbers;SMOTETomek (Combined);TF-IDF;(1, 2);41304;0.7416666666666667;0.6825624888070202;"TF-IDF
(1, 2)"
220;Naive Bayes;prep_standard_numbers;Tomek (Undersampling);BoW;(1, 2);41304;0.725;0.6287337767936946;"BoW
(1, 2)"
221;Naive Bayes;prep_standard_numbers;Tomek (Undersampling);TF-IDF;(1, 2);41304;0.6833333333333333;0.46827373301262415;"TF-IDF
(1, 2)"
222;FFNN (Updated);prep_standard_numbers;Tomek (Undersampling);BoW;(1, 2);41304;0.7666666666666667;0.7146736354441415;"BoW
(1, 2)"
223;FFNN (Updated);prep_standard_numbers;Tomek (Undersampling);TF-IDF;(1, 2);41304;0.746875;0.6920448790515885;"TF-IDF
(1, 2)"
224;Naive Bayes;prep_standard_numbers;None (Imbalanced);BoW;(1, 3);79265;0.721875;0.6213196853727735;"BoW
(1, 3)"
225;Naive Bayes;prep_standard_numbers;None (Imbalanced);TF-IDF;(1, 3);79265;0.6697916666666667;0.4396002019702676;"TF-IDF
(1, 3)"
226;FFNN (Updated);prep_standard_numbers;None (Imbalanced);BoW;(1, 3);79265;0.7583333333333333;0.6774450143992934;"BoW
(1, 3)"
227;FFNN (Updated);prep_standard_numbers;None (Imbalanced);TF-IDF;(1, 3);79265;0.7541666666666667;0.7051677816299313;"TF-IDF
(1, 3)"
228;Naive Bayes;prep_standard_numbers;SMOTE (Oversampling);BoW;(1, 3);79265;0.70625;0.6151575695446906;"BoW
(1, 3)"
229;Naive Bayes;prep_standard_numbers;SMOTE (Oversampling);TF-IDF;(1, 3);79265;0.6572916666666667;0.6075030159286906;"TF-IDF
(1, 3)"
230;FFNN (Updated);prep_standard_numbers;SMOTE (Oversampling);BoW;(1, 3);79265;0.6802083333333333;0.6218349183239852;"BoW
(1, 3)"
231;FFNN (Updated);prep_standard_numbers;SMOTE (Oversampling);TF-IDF;(1, 3);79265;0.7458333333333333;0.6913780811183919;"TF-IDF
(1, 3)"
232;Naive Bayes;prep_standard_numbers;SMOTETomek (Combined);BoW;(1, 3);79265;0.7083333333333334;0.6165950991919319;"BoW
(1, 3)"
233;Naive Bayes;prep_standard_numbers;SMOTETomek (Combined);TF-IDF;(1, 3);79265;0.6572916666666667;0.6075030159286906;"TF-IDF
(1, 3)"
234;FFNN (Updated);prep_standard_numbers;SMOTETomek (Combined);BoW;(1, 3);79265;0.68125;0.6255897767817705;"BoW
(1, 3)"
235;FFNN (Updated);prep_standard_numbers;SMOTETomek (Combined);TF-IDF;(1, 3);79265;0.7322916666666667;0.6704751861148969;"TF-IDF
(1, 3)"
236;Naive Bayes;prep_standard_numbers;Tomek (Undersampling);BoW;(1, 3);79265;0.7197916666666667;0.6183949802583194;"BoW
(1, 3)"
237;Naive Bayes;prep_standard_numbers;Tomek (Undersampling);TF-IDF;(1, 3);79265;0.6708333333333333;0.44129058120574866;"TF-IDF
(1, 3)"
238;FFNN (Updated);prep_standard_numbers;Tomek (Undersampling);BoW;(1, 3);79265;0.7552083333333334;0.6890039298021718;"BoW
(1, 3)"
239;FFNN (Updated);prep_standard_numbers;Tomek (Undersampling);TF-IDF;(1, 3);79265;0.7447916666666666;0.6910296821644338;"TF-IDF
(1, 3)"
240;Naive Bayes;prep_standard_numbers;None (Imbalanced);BoW;(1, 4);115556;0.721875;0.6142646543430804;"BoW
(1, 4)"
241;Naive Bayes;prep_standard_numbers;None (Imbalanced);TF-IDF;(1, 4);115556;0.6666666666666666;0.4311845324209336;"TF-IDF
(1, 4)"
242;FFNN (Updated);prep_standard_numbers;None (Imbalanced);BoW;(1, 4);115556;0.7479166666666667;0.6826221256601003;"BoW
(1, 4)"
243;FFNN (Updated);prep_standard_numbers;None (Imbalanced);TF-IDF;(1, 4);115556;0.7427083333333333;0.6775593076626368;"TF-IDF
(1, 4)"
244;Naive Bayes;prep_standard_numbers;SMOTE (Oversampling);BoW;(1, 4);115556;0.7072916666666667;0.6093586967375918;"BoW
(1, 4)"
245;Naive Bayes;prep_standard_numbers;SMOTE (Oversampling);TF-IDF;(1, 4);115556;0.6604166666666667;0.6102542804832409;"TF-IDF
(1, 4)"
246;FFNN (Updated);prep_standard_numbers;SMOTE (Oversampling);BoW;(1, 4);115556;0.6947916666666667;0.6303643724696356;"BoW
(1, 4)"
247;FFNN (Updated);prep_standard_numbers;SMOTE (Oversampling);TF-IDF;(1, 4);115556;0.7364583333333333;0.6764842198931907;"TF-IDF
(1, 4)"
248;Naive Bayes;prep_standard_numbers;SMOTETomek (Combined);BoW;(1, 4);115556;0.7072916666666667;0.6093586967375918;"BoW
(1, 4)"
249;Naive Bayes;prep_standard_numbers;SMOTETomek (Combined);TF-IDF;(1, 4);115556;0.6614583333333334;0.611703750682663;"TF-IDF
(1, 4)"
250;FFNN (Updated);prep_standard_numbers;SMOTETomek (Combined);BoW;(1, 4);115556;0.6947916666666667;0.6291491377441294;"BoW
(1, 4)"
251;FFNN (Updated);prep_standard_numbers;SMOTETomek (Combined);TF-IDF;(1, 4);115556;0.7427083333333333;0.6848020537748657;"TF-IDF
(1, 4)"
252;Naive Bayes;prep_standard_numbers;Tomek (Undersampling);BoW;(1, 4);115556;0.721875;0.6130697140896266;"BoW
(1, 4)"
253;Naive Bayes;prep_standard_numbers;Tomek (Undersampling);TF-IDF;(1, 4);115556;0.6666666666666666;0.4311845324209336;"TF-IDF
(1, 4)"
254;FFNN (Updated);prep_standard_numbers;Tomek (Undersampling);BoW;(1, 4);115556;0.7645833333333333;0.6929904808155486;"BoW
(1, 4)"
255;FFNN (Updated);prep_standard_numbers;Tomek (Undersampling);TF-IDF;(1, 4);115556;0.740625;0.6740371423965822;"TF-IDF
(1, 4)"
