Model,Sampling Strategy,Strategy,Vec_N_Gram_Label,Macro-F1,Accuracy,Is_Local_Winner
Naive Bayes,Tomek (Undersampling),prep_standard_numbers,"BoW (1, 3)",0.6345458234037423,0.7206185567010309,0
Naive Bayes,Tomek (Undersampling),prep_standard_numbers,"TF-IDF (1, 3)",0.45326752096536244,0.6659793814432989,0
FFNN (Updated),Tomek (Undersampling),prep_standard_numbers,"BoW (1, 3)",0.6805167102127737,0.7247422680412371,0
FFNN (Updated),Tomek (Undersampling),prep_standard_numbers,"TF-IDF (1, 3)",0.6878546901575687,0.7247422680412371,0
Naive Bayes,None (Imbalanced),prep_standard_numbers,"BoW (1, 4)",0.6277623765624488,0.722680412371134,0
Naive Bayes,None (Imbalanced),prep_standard_numbers,"TF-IDF (1, 4)",0.43027817296844245,0.6639175257731958,0
FFNN (Updated),None (Imbalanced),prep_standard_numbers,"BoW (1, 4)",0.6769670353112436,0.7350515463917526,0
FFNN (Updated),None (Imbalanced),prep_standard_numbers,"TF-IDF (1, 4)",0.6901789343898072,0.7381443298969073,0
Naive Bayes,SMOTE (Oversampling),prep_standard_numbers,"BoW (1, 4)",0.6401828570201992,0.7072164948453609,0
Naive Bayes,SMOTE (Oversampling),prep_standard_numbers,"TF-IDF (1, 4)",0.6009954148544806,0.6360824742268041,0
FFNN (Updated),SMOTE (Oversampling),prep_standard_numbers,"BoW (1, 4)",0.6518744188421367,0.7010309278350515,0
FFNN (Updated),SMOTE (Oversampling),prep_standard_numbers,"TF-IDF (1, 4)",0.6652760934594552,0.6979381443298969,0
Naive Bayes,SMOTETomek (Combined),prep_standard_numbers,"BoW (1, 4)",0.6401828570201992,0.7072164948453609,0
Naive Bayes,SMOTETomek (Combined),prep_standard_numbers,"TF-IDF (1, 4)",0.6009954148544806,0.6360824742268041,0
FFNN (Updated),SMOTETomek (Combined),prep_standard_numbers,"BoW (1, 4)",0.6375794339180277,0.677319587628866,0
FFNN (Updated),SMOTETomek (Combined),prep_standard_numbers,"TF-IDF (1, 4)",0.6729402073537333,0.6824742268041237,0
Naive Bayes,Tomek (Undersampling),prep_standard_numbers,"BoW (1, 4)",0.6291421029732636,0.7247422680412371,0
Naive Bayes,Tomek (Undersampling),prep_standard_numbers,"TF-IDF (1, 4)",0.43469747056364033,0.6577319587628866,0
FFNN (Updated),Tomek (Undersampling),prep_standard_numbers,"BoW (1, 4)",0.680341119391036,0.7350515463917526,0
FFNN (Updated),Tomek (Undersampling),prep_standard_numbers,"TF-IDF (1, 4)",0.6873164257126522,0.7268041237113402,0
