Model,Sampling Strategy,Strategy,Vec_N_Gram_Label,Macro-F1,Accuracy,Is_Local_Winner
FFNN (Updated),Tomek (Undersampling),prep_standard,"TF-IDF (1, 3)",0.7024832688931303,0.7474226804123711,0
Naive Bayes,None (Imbalanced),prep_standard,"BoW (1, 4)",0.6462448772850762,0.7278350515463917,0
Naive Bayes,None (Imbalanced),prep_standard,"TF-IDF (1, 4)",0.5054249304720478,0.6855670103092784,0
FFNN (Updated),None (Imbalanced),prep_standard,"BoW (1, 4)",0.698575728588426,0.7484536082474227,0
FFNN (Updated),None (Imbalanced),prep_standard,"TF-IDF (1, 4)",0.7037258916910439,0.7412371134020619,0
Naive Bayes,SMOTE (Oversampling),prep_standard,"BoW (1, 4)",0.6256832564400568,0.6989690721649484,0
Naive Bayes,SMOTE (Oversampling),prep_standard,"TF-IDF (1, 4)",0.6334922042904393,0.6701030927835051,0
FFNN (Updated),SMOTE (Oversampling),prep_standard,"BoW (1, 4)",0.643343819996674,0.6917525773195876,0
FFNN (Updated),SMOTE (Oversampling),prep_standard,"TF-IDF (1, 4)",0.6826491692021878,0.7195876288659794,0
Naive Bayes,SMOTETomek (Combined),prep_standard,"BoW (1, 4)",0.6262288101771,0.7,0
Naive Bayes,SMOTETomek (Combined),prep_standard,"TF-IDF (1, 4)",0.6324130231847667,0.6690721649484536,0
FFNN (Updated),SMOTETomek (Combined),prep_standard,"BoW (1, 4)",0.6534561988645892,0.6917525773195876,0
FFNN (Updated),SMOTETomek (Combined),prep_standard,"TF-IDF (1, 4)",0.6804704000323105,0.7247422680412371,0
Naive Bayes,Tomek (Undersampling),prep_standard,"BoW (1, 4)",0.6437613648420721,0.7268041237113402,0
Naive Bayes,Tomek (Undersampling),prep_standard,"TF-IDF (1, 4)",0.5166171659139689,0.6865979381443299,0
FFNN (Updated),Tomek (Undersampling),prep_standard,"BoW (1, 4)",0.665207340506296,0.7350515463917526,0
FFNN (Updated),Tomek (Undersampling),prep_standard,"TF-IDF (1, 4)",0.6903473262335345,0.7443298969072165,0
Naive Bayes,None (Imbalanced),prep_full,"BoW (1, 1)",0.6684410657079333,0.7298969072164948,1
Naive Bayes,None (Imbalanced),prep_full,"TF-IDF (1, 1)",0.46955489374970916,0.6896907216494845,0
FFNN (Updated),None (Imbalanced),prep_full,"BoW (1, 1)",0.6933345067794264,0.7319587628865979,0
FFNN (Updated),None (Imbalanced),prep_full,"TF-IDF (1, 1)",0.6848519554025151,0.7278350515463917,0
Naive Bayes,SMOTE (Oversampling),prep_full,"BoW (1, 1)",0.6368595990272186,0.6907216494845361,0
Naive Bayes,SMOTE (Oversampling),prep_full,"TF-IDF (1, 1)",0.6287528553273624,0.6659793814432989,0
FFNN (Updated),SMOTE (Oversampling),prep_full,"BoW (1, 1)",0.6593954373623675,0.688659793814433,0
FFNN (Updated),SMOTE (Oversampling),prep_full,"TF-IDF (1, 1)",0.6933361625927404,0.7257731958762886,0
Naive Bayes,SMOTETomek (Combined),prep_full,"BoW (1, 1)",0.6354601722526251,0.6907216494845361,0
Naive Bayes,SMOTETomek (Combined),prep_full,"TF-IDF (1, 1)",0.6286923204062598,0.6670103092783505,0
FFNN (Updated),SMOTETomek (Combined),prep_full,"BoW (1, 1)",0.6477689805331902,0.6814432989690722,0
FFNN (Updated),SMOTETomek (Combined),prep_full,"TF-IDF (1, 1)",0.669349091724515,0.6969072164948453,0
Naive Bayes,Tomek (Undersampling),prep_full,"BoW (1, 1)",0.6653421790090973,0.7278350515463917,0
Naive Bayes,Tomek (Undersampling),prep_full,"TF-IDF (1, 1)",0.5043997498228188,0.6865979381443299,0
FFNN (Updated),Tomek (Undersampling),prep_full,"BoW (1, 1)",0.6998799977335777,0.7391752577319588,0
FFNN (Updated),Tomek (Undersampling),prep_full,"TF-IDF (1, 1)",0.6850442585492648,0.7237113402061855,0
Naive Bayes,None (Imbalanced),prep_full,"BoW (1, 2)",0.6565377300099896,0.7350515463917526,0
Naive Bayes,None (Imbalanced),prep_full,"TF-IDF (1, 2)",0.43450821542069207,0.668041237113402,0
FFNN (Updated),None (Imbalanced),prep_full,"BoW (1, 2)",0.7079609939574452,0.7443298969072165,0
FFNN (Updated),None (Imbalanced),prep_full,"TF-IDF (1, 2)",0.6911164493028473,0.734020618556701,0
Naive Bayes,SMOTE (Oversampling),prep_full,"BoW (1, 2)",0.6410760246137356,0.7061855670103093,0
Naive Bayes,SMOTE (Oversampling),prep_full,"TF-IDF (1, 2)",0.637455577986359,0.6762886597938145,0
FFNN (Updated),SMOTE (Oversampling),prep_full,"BoW (1, 2)",0.6451296099258035,0.668041237113402,0
FFNN (Updated),SMOTE (Oversampling),prep_full,"TF-IDF (1, 2)",0.691730187118364,0.7268041237113402,0
Naive Bayes,SMOTETomek (Combined),prep_full,"BoW (1, 2)",0.642271120594451,0.7072164948453609,0
Naive Bayes,SMOTETomek (Combined),prep_full,"TF-IDF (1, 2)",0.6372351968588544,0.6762886597938145,0
FFNN (Updated),SMOTETomek (Combined),prep_full,"BoW (1, 2)",0.650086828951313,0.6907216494845361,0
FFNN (Updated),SMOTETomek (Combined),prep_full,"TF-IDF (1, 2)",0.7004861834760326,0.7422680412371134,0
Naive Bayes,Tomek (Undersampling),prep_full,"BoW (1, 2)",0.6594242190243684,0.7350515463917526,0
Naive Bayes,Tomek (Undersampling),prep_full,"TF-IDF (1, 2)",0.469881076559529,0.6721649484536083,0
FFNN (Updated),Tomek (Undersampling),prep_full,"BoW (1, 2)",0.7054670798292236,0.7463917525773196,0
FFNN (Updated),Tomek (Undersampling),prep_full,"TF-IDF (1, 2)",0.7164904225890046,0.7536082474226804,1
Naive Bayes,None (Imbalanced),prep_full,"BoW (1, 3)",0.6564153788014991,0.7360824742268042,0
Naive Bayes,None (Imbalanced),prep_full,"TF-IDF (1, 3)",0.4329502687220111,0.6659793814432989,0
FFNN (Updated),None (Imbalanced),prep_full,"BoW (1, 3)",0.6939736722766092,0.7350515463917526,0
FFNN (Updated),None (Imbalanced),prep_full,"TF-IDF (1, 3)",0.6919861822143233,0.7206185567010309,0
Naive Bayes,SMOTE (Oversampling),prep_full,"BoW (1, 3)",0.6466201455069219,0.7154639175257732,0
