;Model;Strategy;Sampling Strategy;Vectorizer;N-Gram;Feature Size;Accuracy;Macro-F1
49;Naive Bayes;prep_full;Oversampling;TF-IDF;(1, 2);42030;0.6762886597938145;0.637455577986359
50;FFNN (Updated);prep_full;Oversampling;BoW;(1, 2);42030;0.702061855670103;0.6807220251656735
51;FFNN (Updated);prep_full;Oversampling;TF-IDF;(1, 2);42030;0.7298969072164948;0.6928722678230758
52;Naive Bayes;prep_full;Over+Undersampling;BoW;(1, 2);42030;0.7072164948453609;0.642271120594451
53;Naive Bayes;prep_full;Over+Undersampling;TF-IDF;(1, 2);42030;0.6762886597938145;0.6372351968588544
54;FFNN (Updated);prep_full;Over+Undersampling;BoW;(1, 2);42030;0.6804123711340206;0.6524511680951167
55;FFNN (Updated);prep_full;Over+Undersampling;TF-IDF;(1, 2);42030;0.6927835051546392;0.6785511059237445
56;Naive Bayes;prep_full;Oversampling;BoW;(1, 3);75997;0.7154639175257732;0.6466201455069219
57;Naive Bayes;prep_full;Oversampling;TF-IDF;(1, 3);75997;0.6690721649484536;0.6283974652086116
58;FFNN (Updated);prep_full;Oversampling;BoW;(1, 3);75997;0.6742268041237114;0.6419431911112444
59;FFNN (Updated);prep_full;Oversampling;TF-IDF;(1, 3);75997;0.7134020618556701;0.684308174899448
60;Naive Bayes;prep_full;Over+Undersampling;BoW;(1, 3);75997;0.7154639175257732;0.6466201455069219
61;Naive Bayes;prep_full;Over+Undersampling;TF-IDF;(1, 3);75997;0.6690721649484536;0.629468316998005
62;FFNN (Updated);prep_full;Over+Undersampling;BoW;(1, 3);75997;0.6979381443298969;0.6492728407460895
63;FFNN (Updated);prep_full;Over+Undersampling;TF-IDF;(1, 3);75997;0.7195876288659794;0.6891563171344806
64;Naive Bayes;prep_full;Oversampling;BoW;(1, 4);107250;0.7164948453608248;0.6434603998484256
65;Naive Bayes;prep_full;Oversampling;TF-IDF;(1, 4);107250;0.6711340206185566;0.6318840010531911
