Strategy,N-Gram Range,Sampling,Alpha,Batch Size,Learning Rate Init,Best Activation,Best Hidden Layers,Test Accuracy,Test Macro F1
prep_masked,"(1, 1)",Tomek (Undersampling),0.001,256,0.01,tanh,"(64,)",0.7288659793814433,0.692104785514824
prep_masked,"(1, 3)",None (Imbalanced),0.001,64,0.005,tanh,"(32,)",0.7371134020618557,0.6930361470591997
prep_masked,"(1, 3)",SMOTE (Oversampling),0.0001,256,0.01,relu,"(64, 32)",0.7154639175257732,0.6846669586821541
prep_masked,"(1, 3)",SMOTETomek (Combined),0.001,128,0.005,tanh,"(64, 32)",0.7474226804123711,0.7158336006841283
prep_masked,"(1, 3)",Tomek (Undersampling),0.001,64,0.01,relu,"(64,)",0.722680412371134,0.6732133787215648
prep_standard_numbers,"(1, 4)",None (Imbalanced),0.001,128,0.01,relu,"(64,)",0.7278350515463917,0.6708772083772084
prep_standard_numbers,"(1, 4)",SMOTE (Oversampling),0.001,64,0.005,tanh,"(64, 32)",0.7041237113402062,0.6712931713134368
prep_standard_numbers,"(1, 4)",SMOTETomek (Combined),0.0001,64,0.005,relu,"(64,)",0.7175257731958763,0.6823234801419941
prep_standard_numbers,"(1, 4)",Tomek (Undersampling),0.001,64,0.005,tanh,"(64, 32)",0.709278350515464,0.655955780487662
prep_standard_numbers,"(1, 2)",None (Imbalanced),0.001,64,0.01,relu,"(32,)",0.7412371134020619,0.6862219807969291
prep_standard_numbers,"(1, 2)",SMOTE (Oversampling),0.001,128,0.005,tanh,"(64, 32)",0.7164948453608248,0.6769798351792563
prep_standard_numbers,"(1, 2)",SMOTETomek (Combined),0.0001,64,0.01,relu,"(32,)",0.7237113402061855,0.6768528319084011
prep_standard_numbers,"(1, 2)",Tomek (Undersampling),0.001,64,0.01,relu,"(64,)",0.6989690721649484,0.6620279146141215
prep_standard_numbers,"(1, 1)",None (Imbalanced),0.001,64,0.005,tanh,"(32,)",0.7278350515463917,0.6860743067151786
prep_standard_numbers,"(1, 1)",SMOTE (Oversampling),0.001,64,0.005,tanh,"(64, 32)",0.7164948453608248,0.685943158415327
prep_standard_numbers,"(1, 1)",SMOTETomek (Combined),0.0001,128,0.005,tanh,"(64, 32)",0.7072164948453609,0.6584987792291673
prep_standard_numbers,"(1, 1)",Tomek (Undersampling),0.001,64,0.01,relu,"(32,)",0.7185567010309278,0.6749151982915768
prep_standard_numbers,"(1, 3)",None (Imbalanced),0.001,128,0.01,relu,"(64,)",0.7309278350515463,0.6755640754450908
prep_standard_numbers,"(1, 3)",SMOTE (Oversampling),0.001,64,0.005,tanh,"(64, 32)",0.7010309278350515,0.6678043774311201
prep_standard_numbers,"(1, 3)",SMOTETomek (Combined),0.0001,128,0.005,relu,"(64, 32)",0.7010309278350515,0.6631861780235574
prep_standard_numbers,"(1, 3)",Tomek (Undersampling),0.001,128,0.005,tanh,"(64, 32)",0.7175257731958763,0.6556227314804981
