;Model;Strategy;Sampling Strategy;Vectorizer;N-Gram;Feature Size;Accuracy;Macro-F1;Vec_N-Gram
37;Naive Bayes;prep_standard;SMOTE (Oversampling);TF-IDF;(1, 3);67386;0.6677148846960168;0.6289278128863417;"TF-IDF
(1, 3)"
38;FFNN (Updated);prep_standard;SMOTE (Oversampling);BoW;(1, 3);67386;0.6939203354297694;0.6475406691717835;"BoW
(1, 3)"
39;FFNN (Updated);prep_standard;SMOTE (Oversampling);TF-IDF;(1, 3);67386;0.7578616352201258;0.7137978998091165;"TF-IDF
(1, 3)"
40;Naive Bayes;prep_standard;SMOTETomek (Combined);BoW;(1, 3);67386;0.6939203354297694;0.606132394574863;"BoW
(1, 3)"
41;Naive Bayes;prep_standard;SMOTETomek (Combined);TF-IDF;(1, 3);67386;0.6666666666666666;0.62749924862281;"TF-IDF
(1, 3)"
42;FFNN (Updated);prep_standard;SMOTETomek (Combined);BoW;(1, 3);67386;0.6928721174004193;0.650075978483661;"BoW
(1, 3)"
43;FFNN (Updated);prep_standard;SMOTETomek (Combined);TF-IDF;(1, 3);67386;0.7526205450733753;0.6928798460112011;"TF-IDF
(1, 3)"
44;Naive Bayes;prep_standard;Tomek (Undersampling);BoW;(1, 3);67386;0.709643605870021;0.6009533468639482;"BoW
(1, 3)"
45;Naive Bayes;prep_standard;Tomek (Undersampling);TF-IDF;(1, 3);67386;0.6761006289308176;0.46327288919902965;"TF-IDF
(1, 3)"
46;FFNN (Updated);prep_standard;Tomek (Undersampling);BoW;(1, 3);67386;0.7295597484276729;0.6607415876479014;"BoW
(1, 3)"
47;FFNN (Updated);prep_standard;Tomek (Undersampling);TF-IDF;(1, 3);67386;0.740041928721174;0.7028317878218155;"TF-IDF
(1, 3)"
48;Naive Bayes;prep_standard;None (Imbalanced);BoW;(1, 4);96738;0.7127882599580713;0.59652433465231;"BoW
(1, 4)"
49;Naive Bayes;prep_standard;None (Imbalanced);TF-IDF;(1, 4);96738;0.6802935010482181;0.4633660661056082;"TF-IDF
(1, 4)"
50;FFNN (Updated);prep_standard;None (Imbalanced);BoW;(1, 4);96738;0.7463312368972747;0.6821316259197016;"BoW
(1, 4)"
51;FFNN (Updated);prep_standard;None (Imbalanced);TF-IDF;(1, 4);96738;0.7379454926624738;0.6946962381501209;"TF-IDF
(1, 4)"
52;Naive Bayes;prep_standard;SMOTE (Oversampling);BoW;(1, 4);96738;0.6949685534591195;0.6066730267370365;"BoW
(1, 4)"
53;Naive Bayes;prep_standard;SMOTE (Oversampling);TF-IDF;(1, 4);96738;0.6719077568134172;0.6328282739384301;"TF-IDF
(1, 4)"
54;FFNN (Updated);prep_standard;SMOTE (Oversampling);BoW;(1, 4);96738;0.6656184486373166;0.6082725184953124;"BoW
(1, 4)"
55;FFNN (Updated);prep_standard;SMOTE (Oversampling);TF-IDF;(1, 4);96738;0.7389937106918238;0.6965725761600307;"TF-IDF
(1, 4)"
56;Naive Bayes;prep_standard;SMOTETomek (Combined);BoW;(1, 4);96738;0.6949685534591195;0.6066730267370365;"BoW
(1, 4)"
57;Naive Bayes;prep_standard;SMOTETomek (Combined);TF-IDF;(1, 4);96738;0.6708595387840671;0.6312058411387271;"TF-IDF
(1, 4)"
58;FFNN (Updated);prep_standard;SMOTETomek (Combined);BoW;(1, 4);96738;0.6614255765199162;0.611548583586158;"BoW
(1, 4)"
59;FFNN (Updated);prep_standard;SMOTETomek (Combined);TF-IDF;(1, 4);96738;0.7547169811320755;0.6929131920186687;"TF-IDF
(1, 4)"
60;Naive Bayes;prep_standard;Tomek (Undersampling);BoW;(1, 4);96738;0.7117400419287212;0.5963606331558755;"BoW
(1, 4)"
61;Naive Bayes;prep_standard;Tomek (Undersampling);TF-IDF;(1, 4);96738;0.6792452830188679;0.46891144845397253;"TF-IDF
(1, 4)"
62;FFNN (Updated);prep_standard;Tomek (Undersampling);BoW;(1, 4);96738;0.7410901467505241;0.6872331436481977;"BoW
(1, 4)"
63;FFNN (Updated);prep_standard;Tomek (Undersampling);TF-IDF;(1, 4);96738;0.7243186582809225;0.6916507103360371;"TF-IDF
(1, 4)"
