;Model;Strategy;Sampling Strategy;Vectorizer;N-Gram;Feature Size;Accuracy;Macro-F1;Vec_N-Gram
184;Naive Bayes;prep_masked;SMOTETomek (Combined);BoW;(1, 4);98993;0.7054507337526206;0.6322884728123558;"BoW
(1, 4)"
185;Naive Bayes;prep_masked;SMOTETomek (Combined);TF-IDF;(1, 4);98993;0.6781970649895178;0.6361785614030454;"TF-IDF
(1, 4)"
186;FFNN (Updated);prep_masked;SMOTETomek (Combined);BoW;(1, 4);98993;0.7222222222222222;0.6635858026387552;"BoW
(1, 4)"
187;FFNN (Updated);prep_masked;SMOTETomek (Combined);TF-IDF;(1, 4);98993;0.7578616352201258;0.6995292838200408;"TF-IDF
(1, 4)"
188;Naive Bayes;prep_masked;Tomek (Undersampling);BoW;(1, 4);98993;0.7285115303983228;0.6266542555483733;"BoW
(1, 4)"
189;Naive Bayes;prep_masked;Tomek (Undersampling);TF-IDF;(1, 4);98993;0.6834381551362684;0.468704570373254;"TF-IDF
(1, 4)"
190;FFNN (Updated);prep_masked;Tomek (Undersampling);BoW;(1, 4);98993;0.7442348008385744;0.6950680000166226;"BoW
(1, 4)"
191;FFNN (Updated);prep_masked;Tomek (Undersampling);TF-IDF;(1, 4);98993;0.749475890985325;0.6990643803923232;"TF-IDF
(1, 4)"
192;Naive Bayes;prep_standard_numbers;None (Imbalanced);BoW;(1, 1);7575;0.7012578616352201;0.6249395529087347;"BoW
(1, 1)"
193;Naive Bayes;prep_standard_numbers;None (Imbalanced);TF-IDF;(1, 1);7575;0.6844863731656184;0.4613551649522873;"TF-IDF
(1, 1)"
194;FFNN (Updated);prep_standard_numbers;None (Imbalanced);BoW;(1, 1);7575;0.750524109014675;0.6895125803762335;"BoW
(1, 1)"
195;FFNN (Updated);prep_standard_numbers;None (Imbalanced);TF-IDF;(1, 1);7575;0.7274633123689728;0.6748180387771688;"TF-IDF
(1, 1)"
196;Naive Bayes;prep_standard_numbers;SMOTE (Oversampling);BoW;(1, 1);7575;0.6624737945492662;0.588071978621517;"BoW
(1, 1)"
197;Naive Bayes;prep_standard_numbers;SMOTE (Oversampling);TF-IDF;(1, 1);7575;0.6352201257861635;0.5864916716052488;"TF-IDF
(1, 1)"
198;FFNN (Updated);prep_standard_numbers;SMOTE (Oversampling);BoW;(1, 1);7575;0.6970649895178197;0.6520853396616234;"BoW
(1, 1)"
199;FFNN (Updated);prep_standard_numbers;SMOTE (Oversampling);TF-IDF;(1, 1);7575;0.7085953878406709;0.661437176209218;"TF-IDF
(1, 1)"
200;Naive Bayes;prep_standard_numbers;SMOTETomek (Combined);BoW;(1, 1);7575;0.6645702306079665;0.593315574473639;"BoW
(1, 1)"
201;Naive Bayes;prep_standard_numbers;SMOTETomek (Combined);TF-IDF;(1, 1);7575;0.6352201257861635;0.5864916716052488;"TF-IDF
(1, 1)"
202;FFNN (Updated);prep_standard_numbers;SMOTETomek (Combined);BoW;(1, 1);7575;0.6865828092243187;0.627257679884445;"BoW
(1, 1)"
203;FFNN (Updated);prep_standard_numbers;SMOTETomek (Combined);TF-IDF;(1, 1);7575;0.710691823899371;0.6666500446186726;"TF-IDF
(1, 1)"
204;Naive Bayes;prep_standard_numbers;Tomek (Undersampling);BoW;(1, 1);7575;0.6949685534591195;0.6189037092909296;"BoW
(1, 1)"
205;Naive Bayes;prep_standard_numbers;Tomek (Undersampling);TF-IDF;(1, 1);7575;0.6865828092243187;0.46660382513143334;"TF-IDF
(1, 1)"
206;FFNN (Updated);prep_standard_numbers;Tomek (Undersampling);BoW;(1, 1);7575;0.7285115303983228;0.6802305357420325;"BoW
(1, 1)"
207;FFNN (Updated);prep_standard_numbers;Tomek (Undersampling);TF-IDF;(1, 1);7575;0.7190775681341719;0.6885824899031471;"TF-IDF
(1, 1)"
208;Naive Bayes;prep_standard_numbers;None (Imbalanced);BoW;(1, 2);41473;0.7023060796645703;0.5877775184633752;"BoW
(1, 2)"
209;Naive Bayes;prep_standard_numbers;None (Imbalanced);TF-IDF;(1, 2);41473;0.6719077568134172;0.43384088329746234;"TF-IDF
(1, 2)"
210;FFNN (Updated);prep_standard_numbers;None (Imbalanced);BoW;(1, 2);41473;0.7306079664570231;0.6723551505240941;"BoW
(1, 2)"
211;FFNN (Updated);prep_standard_numbers;None (Imbalanced);TF-IDF;(1, 2);41473;0.7368972746331237;0.6927418086270031;"TF-IDF
(1, 2)"
212;Naive Bayes;prep_standard_numbers;SMOTE (Oversampling);BoW;(1, 2);41473;0.6802935010482181;0.593732176073034;"BoW
(1, 2)"
213;Naive Bayes;prep_standard_numbers;SMOTE (Oversampling);TF-IDF;(1, 2);41473;0.6467505241090147;0.6029707152452574;"TF-IDF
(1, 2)"
214;FFNN (Updated);prep_standard_numbers;SMOTE (Oversampling);BoW;(1, 2);41473;0.6876310272536688;0.6236268147600953;"BoW
(1, 2)"
215;FFNN (Updated);prep_standard_numbers;SMOTE (Oversampling);TF-IDF;(1, 2);41473;0.7180293501048218;0.6592650877754017;"TF-IDF
(1, 2)"
216;Naive Bayes;prep_standard_numbers;SMOTETomek (Combined);BoW;(1, 2);41473;0.6792452830188679;0.5930242497600067;"BoW
(1, 2)"
217;Naive Bayes;prep_standard_numbers;SMOTETomek (Combined);TF-IDF;(1, 2);41473;0.6467505241090147;0.6029707152452574;"TF-IDF
(1, 2)"
218;FFNN (Updated);prep_standard_numbers;SMOTETomek (Combined);BoW;(1, 2);41473;0.6886792452830188;0.6321144116206411;"BoW
(1, 2)"
219;FFNN (Updated);prep_standard_numbers;SMOTETomek (Combined);TF-IDF;(1, 2);41473;0.7306079664570231;0.6577454030003543;"TF-IDF
(1, 2)"
220;Naive Bayes;prep_standard_numbers;Tomek (Undersampling);BoW;(1, 2);41473;0.70020964360587;0.5851308581163158;"BoW
(1, 2)"
221;Naive Bayes;prep_standard_numbers;Tomek (Undersampling);TF-IDF;(1, 2);41473;0.6719077568134172;0.4403768586742503;"TF-IDF
(1, 2)"
222;FFNN (Updated);prep_standard_numbers;Tomek (Undersampling);BoW;(1, 2);41473;0.7693920335429769;0.7123448773448774;"BoW
(1, 2)"
223;FFNN (Updated);prep_standard_numbers;Tomek (Undersampling);TF-IDF;(1, 2);41473;0.7138364779874213;0.6654951554341798;"TF-IDF
(1, 2)"
224;Naive Bayes;prep_standard_numbers;None (Imbalanced);BoW;(1, 3);79454;0.69916142557652;0.5736162661937063;"BoW
(1, 3)"
225;Naive Bayes;prep_standard_numbers;None (Imbalanced);TF-IDF;(1, 3);79454;0.6666666666666666;0.4275135965586112;"TF-IDF
(1, 3)"
226;FFNN (Updated);prep_standard_numbers;None (Imbalanced);BoW;(1, 3);79454;0.7327044025157232;0.6615082628049515;"BoW
(1, 3)"
227;FFNN (Updated);prep_standard_numbers;None (Imbalanced);TF-IDF;(1, 3);79454;0.7274633123689728;0.6780061968812551;"TF-IDF
(1, 3)"
228;Naive Bayes;prep_standard_numbers;SMOTE (Oversampling);BoW;(1, 3);79454;0.689727463312369;0.5961454510876847;"BoW
(1, 3)"
229;Naive Bayes;prep_standard_numbers;SMOTE (Oversampling);TF-IDF;(1, 3);79454;0.639412997903564;0.5964052598363233;"TF-IDF
(1, 3)"
230;FFNN (Updated);prep_standard_numbers;SMOTE (Oversampling);BoW;(1, 3);79454;0.6876310272536688;0.6402736665800693;"BoW
(1, 3)"
231;FFNN (Updated);prep_standard_numbers;SMOTE (Oversampling);TF-IDF;(1, 3);79454;0.7274633123689728;0.6654224867057374;"TF-IDF
(1, 3)"
232;Naive Bayes;prep_standard_numbers;SMOTETomek (Combined);BoW;(1, 3);79454;0.6918238993710691;0.5993867351575782;"BoW
(1, 3)"
233;Naive Bayes;prep_standard_numbers;SMOTETomek (Combined);TF-IDF;(1, 3);79454;0.639412997903564;0.5964052598363233;"TF-IDF
(1, 3)"
234;FFNN (Updated);prep_standard_numbers;SMOTETomek (Combined);BoW;(1, 3);79454;0.7232704402515723;0.6581189867680682;"BoW
(1, 3)"
235;FFNN (Updated);prep_standard_numbers;SMOTETomek (Combined);TF-IDF;(1, 3);79454;0.7421383647798742;0.6809391813208153;"TF-IDF
(1, 3)"
236;Naive Bayes;prep_standard_numbers;Tomek (Undersampling);BoW;(1, 3);79454;0.70020964360587;0.5779625195850767;"BoW
(1, 3)"
237;Naive Bayes;prep_standard_numbers;Tomek (Undersampling);TF-IDF;(1, 3);79454;0.6666666666666666;0.4275135965586112;"TF-IDF
(1, 3)"
238;FFNN (Updated);prep_standard_numbers;Tomek (Undersampling);BoW;(1, 3);79454;0.7442348008385744;0.6712028454246353;"BoW
(1, 3)"
239;FFNN (Updated);prep_standard_numbers;Tomek (Undersampling);TF-IDF;(1, 3);79454;0.7316561844863732;0.694421537113362;"TF-IDF
(1, 3)"
240;Naive Bayes;prep_standard_numbers;None (Imbalanced);BoW;(1, 4);115633;0.69916142557652;0.5732379635638573;"BoW
(1, 4)"
241;Naive Bayes;prep_standard_numbers;None (Imbalanced);TF-IDF;(1, 4);115633;0.6635220125786163;0.42004865056490587;"TF-IDF
(1, 4)"
242;FFNN (Updated);prep_standard_numbers;None (Imbalanced);BoW;(1, 4);115633;0.7473794549266247;0.6751577861390946;"BoW
(1, 4)"
243;FFNN (Updated);prep_standard_numbers;None (Imbalanced);TF-IDF;(1, 4);115633;0.7295597484276729;0.6948950307661454;"TF-IDF
(1, 4)"
244;Naive Bayes;prep_standard_numbers;SMOTE (Oversampling);BoW;(1, 4);115633;0.6865828092243187;0.5828136836791263;"BoW
(1, 4)"
245;Naive Bayes;prep_standard_numbers;SMOTE (Oversampling);TF-IDF;(1, 4);115633;0.6383647798742138;0.5914613835097066;"TF-IDF
(1, 4)"
246;FFNN (Updated);prep_standard_numbers;SMOTE (Oversampling);BoW;(1, 4);115633;0.7138364779874213;0.6383597634312329;"BoW
(1, 4)"
247;FFNN (Updated);prep_standard_numbers;SMOTE (Oversampling);TF-IDF;(1, 4);115633;0.7222222222222222;0.6541765508416368;"TF-IDF
(1, 4)"
248;Naive Bayes;prep_standard_numbers;SMOTETomek (Combined);BoW;(1, 4);115633;0.6865828092243187;0.5828136836791263;"BoW
(1, 4)"
249;Naive Bayes;prep_standard_numbers;SMOTETomek (Combined);TF-IDF;(1, 4);115633;0.6383647798742138;0.5914613835097066;"TF-IDF
(1, 4)"
250;FFNN (Updated);prep_standard_numbers;SMOTETomek (Combined);BoW;(1, 4);115633;0.7127882599580713;0.6534743706569737;"BoW
(1, 4)"
251;FFNN (Updated);prep_standard_numbers;SMOTETomek (Combined);TF-IDF;(1, 4);115633;0.7421383647798742;0.683575167984846;"TF-IDF
(1, 4)"
252;Naive Bayes;prep_standard_numbers;Tomek (Undersampling);BoW;(1, 4);115633;0.69916142557652;0.5720877661601542;"BoW
(1, 4)"
253;Naive Bayes;prep_standard_numbers;Tomek (Undersampling);TF-IDF;(1, 4);115633;0.6635220125786163;0.42004865056490587;"TF-IDF
(1, 4)"
254;FFNN (Updated);prep_standard_numbers;Tomek (Undersampling);BoW;(1, 4);115633;0.7568134171907757;0.6920364206397133;"BoW
(1, 4)"
255;FFNN (Updated);prep_standard_numbers;Tomek (Undersampling);TF-IDF;(1, 4);115633;0.7211740041928721;0.684777678120393;"TF-IDF
(1, 4)"
