Model;Strategy;Vectorizer;N-Gram;Sampling Strategy;Accuracy;Macro-F1;Sampled_Hyperparameters
Naive Bayes;prep_full;BoW;(1, 3);SMOTE (Oversampling);0.70199370409234;0.6441649664641877;{'alpha': 0.5, 'fit_prior': True}
Naive Bayes;prep_full;BoW;(1, 3);SMOTETomek (Combined);0.6988457502623295;0.6311124563307499;{'alpha': 0.1, 'fit_prior': False}
Naive Bayes;prep_full;BoW;(1, 3);Tomek (Undersampling);0.6946484784889821;0.6425700283088287;{'alpha': 1.0, 'fit_prior': False}
Naive Bayes;prep_full;BoW;(1, 4);None (Imbalanced);0.7040923399790137;0.6351321694376816;{'alpha': 0.5, 'fit_prior': True}
Naive Bayes;prep_full;BoW;(1, 4);SMOTE (Oversampling);0.6904512067156349;0.6198637162828029;{'alpha': 0.1, 'fit_prior': False}
Naive Bayes;prep_full;BoW;(1, 4);SMOTETomek (Combined);0.6810073452256034;0.5944943123281377;{'alpha': 0.01, 'fit_prior': True}
Naive Bayes;prep_full;BoW;(1, 4);Tomek (Undersampling);0.6862539349422875;0.6098305076558017;{'alpha': 0.01, 'fit_prior': True}
Naive Bayes;prep_full;TF-IDF;(1, 1);None (Imbalanced);0.6610703043022036;0.6169026978420177;{'alpha': 0.1, 'fit_prior': False}
Naive Bayes;prep_full;TF-IDF;(1, 1);SMOTE (Oversampling);0.646379853095488;0.5724967695224912;{'alpha': 0.01, 'fit_prior': False}
Naive Bayes;prep_full;TF-IDF;(1, 1);SMOTETomek (Combined);0.6684155299055614;0.6251273848313899;{'alpha': 1.0, 'fit_prior': False}
Naive Bayes;prep_full;TF-IDF;(1, 1);Tomek (Undersampling);0.7103882476390346;0.5900318533674714;{'alpha': 0.5, 'fit_prior': True}
Naive Bayes;prep_full;TF-IDF;(1, 2);None (Imbalanced);0.6736621196222455;0.6216722251138479;{'alpha': 0.01, 'fit_prior': False}
Naive Bayes;prep_full;TF-IDF;(1, 2);SMOTE (Oversampling);0.6799580272822665;0.6306197962694666;{'alpha': 0.5, 'fit_prior': True}
Naive Bayes;prep_full;TF-IDF;(1, 2);SMOTETomek (Combined);0.6789087093389297;0.6307833072975321;{'alpha': 0.5, 'fit_prior': False}
Naive Bayes;prep_full;TF-IDF;(1, 2);Tomek (Undersampling);0.6820566631689402;0.6393745787138978;{'alpha': 0.1, 'fit_prior': False}
Naive Bayes;prep_full;TF-IDF;(1, 3);None (Imbalanced);0.6768100734522561;0.6216126518120363;{'alpha': 0.01, 'fit_prior': False}
Naive Bayes;prep_full;TF-IDF;(1, 3);SMOTE (Oversampling);0.6799580272822665;0.6216972235823223;{'alpha': 0.1, 'fit_prior': True}
Naive Bayes;prep_full;TF-IDF;(1, 3);SMOTETomek (Combined);0.6820566631689402;0.6303291005419621;{'alpha': 0.5, 'fit_prior': True}
Naive Bayes;prep_full;TF-IDF;(1, 3);Tomek (Undersampling);0.6852046169989506;0.6365500854044291;{'alpha': 0.1, 'fit_prior': False}
Naive Bayes;prep_full;TF-IDF;(1, 4);None (Imbalanced);0.7114375655823715;0.6176895000424413;{'alpha': 0.1, 'fit_prior': True}
Naive Bayes;prep_full;TF-IDF;(1, 4);SMOTE (Oversampling);0.6736621196222455;0.6230119061903955;{'alpha': 0.5, 'fit_prior': False}
Naive Bayes;prep_full;TF-IDF;(1, 4);SMOTETomek (Combined);0.6652675760755509;0.593650206566335;{'alpha': 0.01, 'fit_prior': True}
Naive Bayes;prep_full;TF-IDF;(1, 4);Tomek (Undersampling);0.6988457502623295;0.6425567441500326;{'alpha': 0.5, 'fit_prior': False}
Naive Bayes;prep_masked;BoW;(1, 1);None (Imbalanced);0.6820566631689402;0.628020520397202;{'alpha': 0.1, 'fit_prior': True}
Naive Bayes;prep_masked;BoW;(1, 1);SMOTE (Oversampling);0.6747114375655824;0.6113531231810801;{'alpha': 0.1, 'fit_prior': True}
Naive Bayes;prep_masked;BoW;(1, 1);SMOTETomek (Combined);0.6589716684155299;0.5879752317178794;{'alpha': 0.01, 'fit_prior': False}
Naive Bayes;prep_masked;BoW;(1, 1);Tomek (Undersampling);0.6631689401888772;0.5971681936621577;{'alpha': 0.01, 'fit_prior': True}
Naive Bayes;prep_masked;BoW;(1, 2);None (Imbalanced);0.7061909758656874;0.6612677484983956;{'alpha': 0.1, 'fit_prior': False}
Naive Bayes;prep_masked;BoW;(1, 2);SMOTE (Oversampling);0.7040923399790137;0.6393508867745811;{'alpha': 0.1, 'fit_prior': False}
Naive Bayes;prep_masked;BoW;(1, 2);SMOTETomek (Combined);0.6988457502623295;0.6349031683125016;{'alpha': 1.0, 'fit_prior': True}
Naive Bayes;prep_masked;BoW;(1, 2);Tomek (Undersampling);0.7051416579223505;0.6608023299486466;{'alpha': 0.1, 'fit_prior': False}
Naive Bayes;prep_masked;BoW;(1, 3);None (Imbalanced);0.7156348373557188;0.6615297184474814;{'alpha': 1.0, 'fit_prior': False}
Naive Bayes;prep_masked;BoW;(1, 3);SMOTE (Oversampling);0.70199370409234;0.6307820539819037;{'alpha': 1.0, 'fit_prior': False}
Naive Bayes;prep_masked;BoW;(1, 3);SMOTETomek (Combined);0.7093389296956978;0.6353725800804679;{'alpha': 0.01, 'fit_prior': True}
Naive Bayes;prep_masked;BoW;(1, 3);Tomek (Undersampling);0.7240293809024134;0.6568073211630573;{'alpha': 0.1, 'fit_prior': True}
Naive Bayes;prep_masked;BoW;(1, 4);None (Imbalanced);0.7324239244491081;0.6655390473089426;{'alpha': 0.5, 'fit_prior': True}
Naive Bayes;prep_masked;BoW;(1, 4);SMOTE (Oversampling);0.7114375655823715;0.6345914981011654;{'alpha': 0.1, 'fit_prior': True}
Naive Bayes;prep_masked;BoW;(1, 4);SMOTETomek (Combined);0.7103882476390346;0.6317160377859699;{'alpha': 0.01, 'fit_prior': True}
Naive Bayes;prep_masked;BoW;(1, 4);Tomek (Undersampling);0.7229800629590766;0.6468855805029361;{'alpha': 0.01, 'fit_prior': True}
